Date,Temp
2017-08-13 18:00:00,65.23
2017-08-14 18:00:00,54.84
2017-08-15 18:00:00,60.33
2017-08-16 18:00:00,64.0
2017-08-17 18:00:00,65.14
2017-08-18 18:00:00,66.99
2017-08-19 18:00:00,66.94
2017-08-20 18:00:00,65.51
2017-08-21 18:00:00,54.86
2017-08-22 18:00:00,69.32
2017-08-23 18:00:00,61.83
2017-08-24 18:00:00,62.29
2017-08-25 18:00:00,67.75
2017-09-01 18:00:00,66.7
2017-09-02 18:00:00,72.52
2017-09-03 18:00:00,75.44
2017-09-04 18:00:00,74.88
2017-09-05 18:00:00,68.89
2017-09-06 18:00:00,68.11
2017-09-07 18:00:00,70.7
2017-09-08 18:00:00,68.54
2017-09-09 18:00:00,65.43
2017-09-10 18:00:00,64.01
2017-09-11 18:00:00,67.03
2017-09-12 18:00:00,68.38
2017-09-13 18:00:00,59.82
2017-09-14 18:00:00,53.18
2017-09-15 18:00:00,36.29
2017-09-16 18:00:00,39.6
2017-09-17 18:00:00,49.55
2017-09-18 18:00:00,41.43
2017-09-19 18:00:00,33.17
2017-09-20 18:00:00,34.7
2017-09-21 18:00:00,33.26
2017-09-22 18:00:00,35.19
2017-09-23 18:00:00,35.92
2017-09-24 18:00:00,38.31
2017-09-25 18:00:00,41.46
